,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
27c42faa-299a-419d-8d3a-69b7329e9498.jpeg,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,0,9,5,1,2,0,0,0,0,5,0,0,0,0,0,1,0,0,1
ed56cba0-c31e-46b3-b894-f5975c4755ec.jpeg,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d99fb5a6-b62b-4c8e-aaf4-ff372220c4e3.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,0,1,2,0,1,0,0,2,0,0,0,0,0,1,0,0,1
0d1e6c0b-f10b-49fa-8a88-4ca58275ebc9.jpeg,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,4,13,0,7,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,1
81323fca-9679-4f82-a8a0-0eefaba3cb3a.jpeg,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,2,0,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,1
1db3aec6-e270-4f34-98d8-14d51021dfcc.jpeg,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,3,0,1,0,0,6,0,0,0,0,0,0,0,0,1
41efc2cc-0a6f-425a-b6f6-ff32c2f12ee7.jpeg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,2
01b07449-3aa2-4246-a215-927493e3e223.jpeg,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,2,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1
030dd8da-40f8-4c6c-b2f2-9eb2bd16dec0.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3
2d82f3bb-cd40-407b-9099-b6ba79a15257.jpeg,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,4,2,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,2
